System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
K2-182,TEP,130.18033,10.98294,12.00,9.91,0.1067,0.13,2457652.79755,0.00028,4.7369696,0.0000017,5710,100,100,+0.12,0.06,0.06,0.865,0.016,0.018,0.793,0.013,0.011,4.61,0.10,0.1,-1,-1,-1,0.04,0.19,0.03,0.0526,0.0003,0.0003,0.063,0.016,0.016,0.240,0.006,0.004,-1,-1,-1,4.2,1.1,1.1,969,20,20,-999,-999,-999,-999,-999,-999
K2-198b,TEP,198.84392,-6.46489,10.97,9.23,0.17,0.28,2457204.5687,0.0014,17.0428683,0.0000053,5213,99,49,-1,-1,-1,0.799,0.091,0.045,0.757,0.035,0.016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.374,0.020,0.009,-1,-1,-1,-1,-1,-1,716,19,9,-999,-999,-999,-999,-999,-999
K2-198c,TEP,198.84392,-6.46489,10.97,9.23,0.07,0.02,2457215.0320,0.0018,3.3596055,0.0000031,5213,99,49,-1,-1,-1,0.799,0.091,0.045,0.757,0.035,0.016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.127,0.007,0.003,-1,-1,-1,-1,-1,-1,1230,32,16,-999,-999,-999,-999,-999,-999
K2-198d,TEP,198.84392,-6.46489,10.97,9.23,0.13,0.10,2457213.5759,0.0010,7.4500177,0.0000039,5213,99,49,-1,-1,-1,0.799,0.091,0.045,0.757,0.035,0.016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.218,0.012,0.005,-1,-1,-1,-1,-1,-1,943,25,12,-999,-999,-999,-999,-999,-999
K2-199b,TEP,208.90171,-6.13614,12.29,10.28,0.0840,0.08,2457218.73733,0.00053,3.2253993,0.0000024,4491,100,100,-0.01,0.09,0.09,0.711,0.022,0.024,0.682,0.014,0.014,-1,-1,-1,-1,-1,-1,0.02,0.03,0.02,0.0382,0.0004,0.0004,0.022,0.006,0.006,0.154,0.005,0.004,-1,-1,-1,5.4,1.6,1.5,913,23,23,-999,-999,-999,-999,-999,-999
K2-199c,TEP,208.90171,-6.13614,12.29,10.28,0.1022,0.18,2457222.93034,0.00035,7.3744897,0.0000037,4491,100,100,-0.01,0.09,0.09,0.711,0.022,0.024,0.682,0.014,0.014,-1,-1,-1,-1,-1,-1,0.03,0.06,0.03,0.0662,0.0007,0.0007,0.039,0.007,0.007,0.254,0.009,0.008,-1,-1,-1,2.2,0.5,0.5,694,17,17,-999,-999,-999,-999,-999,-999
K2-212b,TEP,18.42342,3.09694,13.10,9.86,0.12,0.13,2457399.64109,0.00039,9.795647,0.000021,4349,50,50,-1,-1,-1,0.622,0.020,0.020,0.678,0.052,0.047,4.72,0.10,0.10,-1,-1,-1,0.0,-1,-1,0.07648,0.00082,0.00082,-1,-1,-1,0.209,0.012,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-216,TEP,11.48025,6.34697,12.48,9.86,0.0766,0.06,2457394.0417,0.0009,2.17480,0.00005,4503,69,69,+0.00,0.07,0.07,0.70,0.03,0.03,0.72,0.03,0.03,4.57,0.09,0.09,1.6,0.6,1.0,0.0,-1,-1,0.028,0.004,0.007,0.023,0.007,0.007,0.156,0.015,0.009,-1,-1,-1,5.7,2.3,2.2,1103,180,56,-999,-999,-999,-999,-999,-999
K2-222,TEP,16.46229,11.75342,9.54,8.11,0.1836,0.04,2457399.0595,0.0016,15.38857,0.00088,5942,119,119,-0.315,0.06,0.06,0.94,0.05,0.05,1.072,0.043,0.043,4.35,0.02,0.02,0.76,0.05,0.04,0.16,0.09,0.10,-1,-1,-1,0.025,0.006,0.006,0.210,0.007,0.006,14.2,3.3,3.3,2.6,0.6,0.6,878,17,16,-999,-999,-999,-999,-999,-999
K2-229b,TEP,186.87325,-6.72189,10.98,9.05,0.04,0.02,2457583.4691,0.0012,0.584249,0.000014,5185,32,32,-0.06,0.02,0.02,0.804,0.038,0.048,0.781,0.012,0.012,4.56,0.03,0.05,1.69,0.13,0.14,0.0,-1,-1,0.01288,0.00013,0.00013,0.0078,0.0013,0.0014,0.1068,0.0040,0.0043,-1,-1,-1,6.0,1.7,1.7,1960,40,40,-999,-999,-999,-999,-999,-999
K2-229c,TEP,186.87325,-6.72189,10.98,9.05,0.05,0.06,2457586.3431,0.0019,8.32834,0.00045,5185,32,32,-0.06,0.02,0.02,0.804,0.038,0.048,0.781,0.012,0.012,4.56,0.03,0.05,1.69,0.13,0.14,0.0,-1,-1,0.07577,0.00076,0.00076,0.0,0.067,0.0,0.189,0.010,0.007,-1,-1,-1,0.0,9.6,0.0,800,20,20,-999,-999,-999,-999,-999,-999
K2-229d,TEP,186.87325,-6.72189,10.98,9.05,0.07,0.10,2457623.1,0.5,31.0,1.1,5185,32,32,-0.06,0.02,0.02,0.804,0.038,0.048,0.781,0.012,0.012,4.56,0.03,0.05,1.69,0.13,0.14,0.0,-1,-1,0.1820,0.0042,0.0042,0.0,0.079,0.0,0.236,0.021,0.021,-1,-1,-1,0.0,7.2,0.0,522,13,13,-999,-999,-999,-999,-999,-999
K2-231,TEP,289.09183,-15.77122,12.70,10.86,0.123,0.07,2457320.0016,0.0035,13.8419,0.0013,5695,50,50,+0.14,0.04,0.04,1.01,0.03,0.03,0.95,0.03,0.03,4.48,0.03,0.03,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.22,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-232,TEP,73.76650,18.65453,9.90,8.43,0.20802,0.79,2457825.349782,0.000093,11.168454,0.000023,6154,60,60,+0.10,0.04,0.04,1.118,0.028,0.026,1.161,0.024,0.024,4.379,0.017,0.017,-1,-1,-1,0.258,0.025,0.025,0.10356,0.00081,0.00077,0.398,0.037,0.037,1.000,0.022,0.020,-1,-1,-1,-1,-1,-1,1030,15,15,-11.1,6.6,6.6,-999,-999,-999
K2-233b,TEP,230.48000,-20.23167,10.73,8.38,0.0828,0.018,2457791.6910,0.0026,2.46750,0.00004,5033,41,35,-0.09,0.03,0.03,0.79,0.01,0.01,0.71,0.01,0.01,4.64,0.01,0.01,2.25,0.04,0.03,0.079,0.048,0.029,0.03308,0.00010,0.00009,0.0075,0.0047,0.0041,0.1173,0.0032,0.0032,13,8,8,4.3,2.4,2.8,1121,10,9,-999,-999,-999,-999,-999,-999
K2-233c,TEP,230.48000,-20.23167,10.73,8.38,0.1165,0.015,2457996.3522,0.0057,7.06005,0.00026,5033,41,35,-0.09,0.03,0.03,0.79,0.01,0.01,0.71,0.01,0.01,4.64,0.01,0.01,2.25,0.04,0.03,0.070,0.045,0.035,0.06666,0.00020,0.00018,0.0145,0.0057,0.0053,0.1135,0.0034,0.0034,28,11,10,9.3,3.8,3.5,790,7,6,-999,-999,-999,-999,-999,-999
K2-233d,TEP,230.48000,-20.23167,10.73,8.38,0.1599,0.12,2458005.5801,0.0025,24.36450,0.00068,5033,41,35,-0.09,0.03,0.03,0.79,0.01,0.01,0.71,0.01,0.01,4.64,0.01,0.01,2.25,0.04,0.03,0.062,0.043,0.042,0.15224,0.00046,0.00042,0.0324,0.0075,0.0082,0.2108,0.0055,0.0055,18.1,4.4,4.5,3.2,0.8,0.8,523,5,4,-999,-999,-999,-999,-999,-999
K2-234,TEP,154.67108,10.12903,9.38,7.72,0.2378,0.14,2457913.8050,0.0010,11.81430,0.00020,5622,70,71,+0.436,0.040,0.050,1.324,0.044,0.041,1.733,0.047,0.047,4.083,0.023,0.022,0.254,0.021,0.018,0.22,0.10,0.12,0.1115,0.0012,0.0012,0.121,0.018,0.019,0.648,0.029,0.028,7.1,1.2,1.1,0.412,0.083,0.072,1068,14,15,74,34,33,80,22,23
K2-236,TEP,136.57396,19.40225,10.15,8.84,0.163,0.15,2458113.93994,0.00039,19.49213,0.00001,6025,100,100,+0.1,0.1,0.1,1.18,0.03,0.04,1.38,0.017,0.018,4.25,0.1,0.1,0.45,0.03,0.02,0.0,-1,-1,0.148,0.004,0.004,0.085,0.044,0.040,0.55,0.09,0.09,6.9,3.6,3.2,0.49,0.26,0.23,886,17,17,-999,-999,-999,-999,-999,-999
K2-237,TEP,253.76888,-28.71056,11.60,10.22,0.1260,1.5,2457706.61618,0.00003,2.18053332,0.00000054,6099,110,110,+0.00,0.08,0.08,1.23,0.05,0.05,1.38,0.04,0.04,4.27,0.12,0.12,0.470,0.028,0.028,0.0,-1,-1,0.0352,0.0010,0.0010,1.236,0.044,0.044,1.642,0.050,0.050,-1,-1,-1,0.279,0.027,0.027,1838,38,38,-999,-999,-999,-999,-999,-999
K2-238,TEP,347.70433,-7.85750,13.75,12.03,0.16,0.7,2457740.5036,0.0004,3.20466,0.00003,5630,78,78,+0.34,0.04,0.04,1.19,0.08,0.08,1.59,0.16,0.16,4.11,0.07,0.07,0.0550,0.0003,0.0002,0.0,-1,-1,0.046,0.007,0.006,0.86,0.13,0.12,1.30,0.15,0.14,-1,-1,-1,0.42,0.19,0.12,1587,75,76,-999,-999,-999,-999,-999,-999
K2-239b,TEP,160.59429,4.44136,13.55,9.97,0.0611,0.067,2457908.191,-1,5.240,0.001,3420,18,18,-1,-1,-1,0.40,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.098,0.009,0.009,-1,-1,-1,-1,-1,-1,502,22,18,-999,-999,-999,-999,-999,-999
K2-239c,TEP,160.59429,4.44136,13.55,9.97,0.052,0.058,2457916.860,-1,7.775,0.001,3420,18,18,-1,-1,-1,0.40,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.089,0.009,0.009,-1,-1,-1,-1,-1,-1,427,24,19,-999,-999,-999,-999,-999,-999
K2-239d,TEP,160.59429,4.44136,13.55,9.97,0.0766,0.065,2457908.381,-1,10.115,0.001,3420,18,18,-1,-1,-1,0.40,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.098,0.009,0.009,-1,-1,-1,-1,-1,-1,399,18,15,-999,-999,-999,-999,-999,-999
K2-240b,TEP,227.84963,-17.87522,13.39,9.56,0.0897,0.13,2457996.825,-1,6.034,0.001,3810,17,17,-1,-1,-1,0.58,0.01,0.01,0.54,0.01,0.01,4.7,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.178,0.018,0.009,-1,-1,-1,-1,-1,-1,586,24,18,-999,-999,-999,-999,-999,-999
K2-240c,TEP,227.84963,-17.87522,13.39,9.56,0.133,0.098,2458005.722,-1,20.523,0.001,3810,17,17,-1,-1,-1,0.58,0.01,0.01,0.54,0.01,0.01,4.7,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.161,0.027,0.009,-1,-1,-1,-1,-1,-1,389,19,17,-999,-999,-999,-999,-999,-999
K2-260,TEP,76.86733,16.86772,12.69,11.09,0.17365,1.0,2457894.284876,0.000060,2.62669762,0.00000066,6367,250,250,-0.14,0.15,0.15,1.39,0.05,0.06,1.69,0.03,0.03,4.15,-1,-1,0.2841,0.0071,0.0071,0.0,-1,-1,0.0404,0.0013,0.0016,1.42,0.31,0.32,1.552,0.048,0.057,14.6,3.5,3.0,0.38,0.09,0.09,1957,78,77,-999,-999,-999,-999,-999,-999
K2-261,TEP,163.03242,0.49336,10.61,8.89,0.23,0.3,2458151.14394,0.00028,11.6334681,0.0000044,5513,51,51,+0.26,0.03,0.03,1.105,0.019,0.019,1.669,0.022,0.021,4.032,0.015,0.015,-1,-1,-1,0.42,0.03,0.03,0.10376,0.00043,0.00051,0.179,0.021,0.021,0.840,0.011,0.011,-1,-1,-1,0.28,0.04,0.04,1066,11,13,-999,-999,-999,-999,-999,-999
K2-263,TEP,129.68242,15.68067,11.61,9.75,0.1453,0.06,2458111.1274,0.0012,50.818947,0.000094,5372,73,73,-0.08,0.05,0.05,0.88,0.03,0.03,0.85,0.02,0.02,4.45,0.10,0.10,1.43,0.11,0.11,0.0,0.14,0.0,0.2573,0.0029,0.0029,0.0466,0.0098,0.0098,0.215,0.011,0.011,25.1,6.5,5.6,4.3,1.2,1.1,470,10,10,-999,-999,-999,-999,-999,-999
K2-264b,TEP,131.35854,19.69847,16.55,12.18,0.078,0.2,2458102.09356,0.00046,5.839770,0.000062,3580,70,70,+0.12,0.04,0.04,0.471,0.012,0.021,0.473,0.014,0.014,-1,-1,-1,4.5,0.4,0.4,0.0,0.50,0.0,-1,-1,-1,-1,-1,-1,0.203,0.018,0.013,-1,-1,-1,-1,-1,-1,489,12,13,-999,-999,-999,-999,-999,-999
K2-264c,TEP,131.35854,19.69847,16.55,12.18,0.122,0.3,2458096.93729,0.00074,19.66365,0.00030,3580,70,70,+0.12,0.04,0.04,0.471,0.012,0.021,0.473,0.014,0.014,-1,-1,-1,4.5,0.4,0.4,0.0,0.45,0.0,-1,-1,-1,-1,-1,-1,0.247,0.018,0.016,-1,-1,-1,-1,-1,-1,326,8,9,-999,-999,-999,-999,-999,-999
K2-265,TEP,342.03150,-14.49467,11.10,9.26,0.0944,0.03,2456981.6431,0.0016,2.369172,0.000089,5477,27,27,+0.078,0.020,0.020,0.915,0.017,0.017,0.977,0.053,0.053,4.419,0.053,0.053,0.98,0.19,0.19,0.084,0.079,0.079,0.03376,0.00021,0.00021,0.0206,0.0026,0.0026,0.153,0.010,0.010,-1,-1,-1,5.4,1.4,1.4,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-266b,TEP,157.93546,0.93758,11.81,8.90,0.01306,0.031,2457949.6749,0.0031,0.658524,0.000017,4285,49,57,-0.12,0.40,0.42,0.686,0.033,0.033,0.703,0.024,0.022,4.581,0.032,0.037,1.98,0.21,0.22,-1,-1,-1,0.01306,0.00020,0.00021,0.036,0.035,0.020,0.29,0.16,0.21,10.0,3.8,2.6,1.33,1.43,0.66,1515,18,18,-999,-999,-999,-999,-999,-999
K2-266c,TEP,157.93546,0.93758,11.81,8.90,0.0893,0.10,2457946.6510,0.0065,7.8140,0.0018,4285,49,57,-0.12,0.40,0.42,0.686,0.033,0.033,0.703,0.024,0.022,4.581,0.032,0.037,1.98,0.21,0.22,0.042,0.043,0.030,0.0679,0.0011,0.0011,0.0009,0.0005,0.0004,0.063,0.009,0.008,5.6,1.6,1.3,3.40,0.61,0.51,665,8,7,-999,-999,-999,-999,-999,-999
K2-266d,TEP,157.93546,0.93758,11.81,8.90,0.1416,0.18,2457944.8393,0.0012,14.69700,0.00035,4285,49,57,-0.12,0.40,0.42,0.686,0.033,0.033,0.703,0.024,0.022,4.581,0.032,0.037,1.98,0.21,0.22,0.047,0.043,0.032,0.1035,0.0016,0.0017,0.030,0.009,0.006,0.261,0.012,0.011,10.6,3.4,2.2,1.53,0.48,0.32,538,7,6,-999,-999,-999,-999,-999,-999
K2-266e,TEP,157.93546,0.93758,11.81,8.90,0.1522,0.16,2457938.5410,0.0013,19.4820,0.0012,4285,49,57,-0.12,0.40,0.42,0.686,0.033,0.033,0.703,0.024,0.022,4.581,0.032,0.037,1.98,0.21,0.22,0.043,0.036,0.030,0.1249,0.0019,0.0020,0.026,0.008,0.006,0.244,0.012,0.010,10.7,3.4,2.2,1.67,0.53,0.35,490,6,6,-999,-999,-999,-999,-999,-999
K2-267,TEP,78.91975,16.27875,11.44,9.89,0.17117,0.55,2457865.11032,0.00010,6.180235,0.000014,6189,47,52,+0.139,0.082,0.084,1.317,0.041,0.040,1.586,0.034,0.043,4.157,0.016,0.016,0.330,0.017,0.018,-1,-1,-1,0.07229,0.00074,0.00075,3.0,1.0,1.2,1.051,0.044,0.044,66,25,25,2.3,1.0,1.0,1401,16,16,-1.48,0.85,0.85,3.4,3.5,1.6
K2-280,TEP,291.59533,-22.24767,12.54,10.77,0.3445,0.32,2457307.58114,0.00056,19.89526,0.00028,5500,100,100,+0.33,0.08,0.08,1.03,0.03,0.03,1.28,0.07,0.07,4.31,0.05,0.05,0.57,0.11,0.09,0.35,0.05,0.04,0.1461,0.0099,0.0097,0.117,0.018,0.018,0.669,0.039,0.039,6.5,1.1,1.0,0.36,0.10,0.08,787,17,17,-999,-999,-999,-999,-999,-999
K2-285b,TEP,349.38429,1.30028,12.03,9.97,0.107,0.097,2457743.37545,0.00051,3.471745,0.000045,4975,95,95,+0.00,0.05,0.05,0.830,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,0.0,-1,-1,0.03817,0.00095,0.00092,0.0305,0.0038,0.0043,0.231,0.005,0.005,14.2,1.9,2.0,2.31,0.34,0.34,1089,22,22,-999,-999,-999,-999,-999,-999
K2-285c,TEP,349.38429,1.30028,12.03,9.97,0.128,0.21,2457744.53906,0.00038,7.138048,0.000068,4975,95,95,+0.00,0.05,0.05,0.830,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,0.0,-1,-1,0.0824,0.0018,0.0018,0.0493,0.0072,0.0067,0.315,0.007,0.007,12.3,1.9,1.7,1.47,0.24,0.21,741,15,15,-999,-999,-999,-999,-999,-999
K2-285d,TEP,349.38429,1.30028,12.03,9.97,0.123,0.10,2457745.20100,0.00075,10.45582,0.00024,4975,95,95,+0.00,0.05,0.05,0.830,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,0.0,-1,-1,0.1178,0.0029,0.0029,0.0,0.020,0.0,0.221,0.005,0.005,-1,-1,-1,-1,-1,-1,620,13,13,-999,-999,-999,-999,-999,-999
K2-285e,TEP,349.38429,1.30028,12.03,9.97,0.115,0.068,2457741.8969,0.0022,14.76289,0.00063,4975,95,95,+0.00,0.05,0.05,0.830,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,0.0,-1,-1,0.1804,0.0042,0.0043,0.0,0.034,0.0,0.174,0.004,0.004,-1,-1,-1,-1,-1,-1,501,10,10,-999,-999,-999,-999,-999,-999
K2-286,TEP,233.36958,-16.77325,12.76,9.32,0.125,0.14,2458010.317,0.002,27.359,0.005,3926,100,100,+0.0,0.5,0.5,0.64,0.02,0.02,0.62,0.02,0.02,4.7,0.2,0.2,-1,-1,-1,-1,-1,-1,0.177,0.018,0.021,-1,-1,-1,0.188,0.018,0.018,-1,-1,-1,-1,-1,-1,347,21,11,-999,-999,-999,-999,-999,-999
K2-287,TEP,233.07433,-22.35825,11.41,9.19,0.17,0.7,2458001.72138,0.00016,14.893291,0.000025,5625,64,64,+0.27,0.04,0.04,1.03,0.04,0.04,1.10,0.01,0.01,4.32,0.11,0.11,-1,-1,-1,0.478,0.025,0.026,0.1204,0.0008,0.0011,0.31,0.03,0.03,0.88,0.01,0.01,-1,-1,-1,-1,-1,-1,808,7,9,-999,-999,-999,-999,-999,-999
K2-290b,TEP,234.85779,-20.19881,11.11,9.42,0.207,0.04,2457994.7721,0.0015,9.2117,0.0002,6302,120,120,-0.06,0.10,0.10,1.194,0.067,0.077,1.511,0.075,0.072,4.23,0.10,0.10,0.344,0.052,0.045,0.0,-1,-1,0.0923,0.0066,0.0066,0.0,0.0664,0.0,0.273,0.014,0.014,-1,-1,-1,-1,-1,-1,1230,38,38,173,45,53,-999,-999,-999
K2-290c,TEP,234.85779,-20.19881,11.11,9.42,0.339,0.5,2458019.1723,0.0003,48.3674,0.0003,6302,120,120,-0.06,0.10,0.10,1.194,0.067,0.077,1.511,0.075,0.072,4.23,0.10,0.10,0.344,0.052,0.045,0.0,0.241,0.0,0.305,0.017,0.017,0.774,0.047,0.047,1.006,0.050,0.050,-1,-1,-1,0.76,0.12,0.12,676,16,16,153,8,8,124,6,6
K2-291,TEP,76.44579,21.54861,10.01,8.35,0.0716,0.03,2457830.0616,0.0010,2.225177,0.000067,5520,60,60,+0.08,0.04,0.04,0.934,0.038,0.038,0.899,0.035,0.033,4.50,0.05,0.05,-1,-1,-1,0.0,-1,-1,0.03261,0.00044,0.00044,0.0204,0.0036,0.0036,0.1418,0.0085,0.0064,-1,-1,-1,6.7,1.9,1.5,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-293,TEP,351.60633,-6.02789,13.34,11.54,0.166,0.06,2457749.1347,0.0034,13.1225,0.0012,5532,78,78,+0.218,0.080,0.080,0.958,0.036,0.034,0.947,0.089,0.055,4.52,0.13,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.219,0.031,0.022,-1,-1,-1,-1,-1,-1,750,170,50,-999,-999,-999,-999,-999,-999
K2-294,TEP,352.05167,-7.60369,12.50,10.86,0.108,0.02,2457740.0093,0.0043,2.50387,0.00023,5612,50,50,+0.194,0.080,0.080,0.987,0.034,0.030,1.20,0.13,0.12,4.20,0.10,0.10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.148,0.019,0.017,-1,-1,-1,-1,-1,-1,1425,79,54,-999,-999,-999,-999,-999,-999
K2-295,TEP,19.60992,6.81686,13.95,11.14,0.1041,2.2,2457395.414050,0.000012,4.024867,0.000015,4444,70,70,+0.14,0.12,0.12,0.74,0.04,0.04,0.70,0.02,0.02,4.63,0.12,0.12,-1,-1,-1,0.0,-1,-1,0.0467,0.0007,0.0017,0.335,0.062,0.062,0.897,0.011,0.005,-1,-1,-1,0.461,0.087,0.087,852,14,6,-999,-999,-999,-999,-999,-999
K2-308,TEP,78.33912,16.41419,14.96,13.21,0.129,0.6,2457823.2233,0.0006,3.38628,0.00002,6100,263,263,-0.10,0.08,0.08,1.09,0.09,0.09,1.24,0.10,0.10,3.94,0.44,0.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.885,0.088,0.088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-310b,TEP,204.22171,-7.31814,14.84,12.16,0.124,0.15,2457234.970,0.004,13.6030,0.0013,4542,149,298,-0.47,0.30,0.25,0.615,0.049,0.089,0.570,0.054,0.095,4.708,0.088,0.040,2.28,1.06,0.36,0.3,0.1,0.1,0.098,0.004,0.004,0.029,0.008,0.008,0.231,0.011,0.011,-1,-1,-1,-1,-1,-1,536,18,18,-999,-999,-999,-999,-999,-999
K2-310c,TEP,204.22171,-7.31814,14.84,12.16,0.192,0.16,2457227.790,0.005,65.5500,0.0089,4542,149,298,-0.47,0.30,0.25,0.615,0.049,0.089,0.570,0.054,0.095,4.708,0.088,0.040,2.28,1.06,0.36,0.3,0.1,0.1,0.280,0.006,0.006,0.030,0.008,0.008,0.240,0.013,0.013,-1,-1,-1,-1,-1,-1,316,10,10,-999,-999,-999,-999,-999,-999
K2-314b,TEP,228.24821,-16.72464,11.43,9.71,0.180,0.01,2457994.396,0.005,3.5951,0.0003,5430,85,85,+0.20,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,3.99,0.03,0.03,0.211,0.018,0.016,0.06,0.08,0.04,0.047,0.005,0.007,0.0275,0.0034,0.0034,0.174,0.008,0.007,-1,-1,-1,4.82,0.90,0.78,1616,149,79,-999,-999,-999,-999,-999,-999
K2-314c,TEP,228.24821,-16.72464,11.43,9.71,0.265,0.04,2457998.841,0.003,15.624,0.001,5430,85,85,+0.20,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,3.99,0.03,0.03,0.211,0.018,0.016,0.07,0.08,0.05,0.13,0.01,0.02,0.0461,0.0058,0.0059,0.327,0.015,0.012,-1,-1,-1,1.22,0.23,0.22,990,92,49,-999,-999,-999,-999,-999,-999
K2-314d,TEP,228.24821,-16.72464,11.43,9.71,0.398,0.05,2458008.652,0.003,35.747,0.005,5430,85,85,+0.20,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,3.99,0.03,0.03,0.211,0.018,0.016,0.15,0.21,0.11,0.22,0.02,0.04,0.0320,0.0077,0.0076,0.352,0.012,0.011,-1,-1,-1,0.69,0.19,0.17,752,69,37,-999,-999,-999,-999,-999,-999
K2-329,TEP,351.13538,-5.16414,12.70,10.67,0.1509,1.1,2457773.157267,0.000075,12.4551225,0.0000031,5282,40,39,+0.098,0.065,0.070,0.901,0.048,0.049,0.822,0.026,0.024,4.566,0.013,0.021,1.63,0.09,0.11,0.070,0.041,0.040,0.1016,0.0018,0.0019,0.260,0.020,0.022,0.774,0.026,0.024,-1,-1,-1,0.523,0.015,0.017,650,53,70,24,13,9,-999,-999,-999
K2-415,TEP,137.20358,11.86142,15.33,9.90,0.04,0.025,2458100.07116,0.00069,4.0179694,0.0000027,3173,53,53,-0.13,0.18,0.18,0.1635,0.0041,0.0041,0.1965,0.0058,0.0058,5.066,0.027,0.027,21.5,2.1,1.8,0.0,-1,-1,0.0270,0.00023,0.00023,0.0,0.024,0.0,0.0905,0.0045,0.0045,-1,-1,-1,-1,-1,-1,412,9,9,-999,-999,-999,-999,-999,-999
K2-416,TEP,349.22079,-5.20125,14.79,10.73,0.115,0.2,2458371.8384,0.0020,13.1020,0.0025,3746,72,72,-1,-1,-1,0.548,0.012,0.012,0.554,0.069,0.069,4.691,0.038,0.038,-1,-1,-1,-1,-1,-1,0.088,0.010,0.021,0.0,5.2,0.0,0.232,0.017,0.012,-1,-1,-1,-1,-1,-1,447,49,49,-999,-999,-999,-999,-999,-999
K2-417,TEP,350.14117,-10.03597,13.91,10.06,0.086,0.3,2458373.0321,0.0010,6.5350,0.0014,3861,77,77,-1,-1,-1,0.569,0.012,0.012,0.5776,0.0040,0.0040,4.670,0.014,0.014,-1,-1,-1,-1,-1,-1,0.063,0.006,0.014,0.0,2.2,0.0,0.295,0.012,0.011,-1,-1,-1,-1,-1,-1,558,55,55,-999,-999,-999,-999,-999,-999
KELT-01,BD,0.36217,39.38381,10.70,9.44,0.11484,0.6,2457254.624084,0.000054,1.21749385,0.00000004,6471,50,49,+0.095,0.080,0.080,1.369,0.071,0.075,1.501,0.036,0.036,4.221,0.018,0.017,0.404,0.023,0.020,0.0055,0.0084,0.0039,0.02494,0.00042,0.00046,27.7,1.0,1.1,1.138,0.030,0.030,530,24,22,17.6,1.2,1.1,2421,28,28,2,16,16,-999,-999,-999
KELT-02,TEP,92.66396,30.95714,8.70,7.35,0.2156,0.5,2455974.60338,0.00083,4.1137758,0.0000010,6151,48,48,+0.034,0.078,0.078,1.314,0.063,0.060,1.836,0.066,0.046,4.030,0.015,0.026,-1,-1,-1,0.0,-1,-1,0.05504,0.00086,0.00086,1.524,0.088,0.088,1.290,0.064,0.050,-1,-1,-1,-1,-1,-1,1712,28,20,-999,-999,-999,-999,-999,-999
KELT-03,TEP,148.64329,40.38806,9.82,8.66,0.11419,1.0,2458872.85437,0.00010,2.70339023,0.00000043,6306,50,49,+0.044,0.080,0.082,1.278,0.062,0.061,1.472,0.065,0.067,4.209,0.033,0.031,0.400,0.050,0.042,0.0,-1,-1,0.04122,0.00066,0.00067,1.477,0.066,0.064,1.345,0.072,0.072,20.2,2.2,1.8,0.57,0.09,0.08,1811,43,44,-999,-999,-999,-999,-999,-999
